GALBV00,102,P01-00 ,00000000000+,00000000190+,150#¬õ¬â230X280          ,2,±i  ,19980920 

GALBV00,102,0008150,00000001400+,00000002781+,¦è¼wÀY«×¤O¬[40  ô        , ,KG  ,19980920 

GALBV00,102,K00-00 ,00000000000+,00000001712+,4X170X2440MM ¯È¨¤        ,2,­Ó  ,19980930 

GALBV00,102,K00-00 ,00000000000+,00000001982+,49"(CM) ¥Ë³q¯È           ,2,¦Ì  ,19980930 

GALBV00,102,K00-01 ,00000000000+,00000000201+,3"(75mm) ¤ô½¦¯È          ,2,M   ,19980930 

GALBV00,102,B01-09 ,00000001000+,00000007300+,9MM 4'X8'¥»¦a¶i¤f¥Õ§¨(¬â), ,¥ó  ,19980819 

GALBV00,102,B01-12 ,00000001000+,00000009139+,12MM 4'X8'¥»¦a¶i¤f§¨(¬â) , ,¥ó  ,19980819 

GALBV00,102,R03-25 ,00000000018+,00000016337+,1"Äå®ç¤ì,A¯Å             ,1,M3  ,19980819 

GALBV00,102,R03-50 ,00000000108+,00000126999+,2"Äå®ç¤ì,A¯Å             ,1,M3  ,19980819 

GALBV00,102,R03-50 ,00000000020+,00000022253+,2"Äå®ç¤ì,AB¯Å            ,1,M3  ,19980820 

GALBV00,102,R03-25 ,00000000005-,00000002825-,1"Äå®ç¤ì,µu®Æ            ,1,M3  ,19980820 

GALBV00,102,R03-50 ,00000000004-,00000002489-,2"Äå®ç¤ì,µu®Æ            ,1,M3  ,19980820 

GALBV00,102,V06-00 ,00000003820+,00000010871+,ª½¯¾Äå®ç¥Ö A¯Å           ,1,M2  ,19980826 

GALBV00,102,0010140,00000000330+,00000001155+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980820 

GALBV00,102,0010140,00000000350+,00000001225+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980820 

GALBV00,102,0010140,00000001230+,00000004305+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980820 

GALBV00,102,0010140,00000001220+,00000004270+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980820 

GALBV00,102,0010140,00000000320+,00000001120+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980821 

GALBV00,102,0010140,00000000450+,00000001575+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980822 

GALBV00,102,0010140,00000000530+,00000001855+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980825 

GALBV00,102,0010140,00000001220+,00000004270+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980825 

GALBV00,102,0010140,00000001070+,00000003745+,Fine&Rough Mill ¹ê¤ì¤u®É ,5,HRS ,19980825 

